Date,High,Low,Open,Close
09/30/1987 00:00:00,322.53,320.16,321.83,321.83
10/01/1987 00:00:00,327.34,321.83,327.33,327.33
10/02/1987 00:00:00,328.94,327.22,328.07,328.07
10/05/1987 00:00:00,328.57,326.09,328.08,328.08
10/06/1987 00:00:00,328.08,319.17,319.22,319.22
10/07/1987 00:00:00,319.39,315.78,318.54,318.54
10/08/1987 00:00:00,319.34,312.02,314.16,314.16
10/09/1987 00:00:00,315.04,310.97,311.07,311.07
10/12/1987 00:00:00,311.07,307.76,309.39,309.39
10/13/1987 00:00:00,314.53,309.39,314.52,314.52
10/14/1987 00:00:00,314.52,304.78,305.23,305.23
10/15/1987 00:00:00,305.23,298.07,298.08,298.08
10/16/1987 00:00:00,298.92,281.52,282.7,282.7
10/19/1987 00:00:00,282.7,224.83,224.84,224.84
10/20/1987 00:00:00,238.26,221.39,236.83,236.83
10/21/1987 00:00:00,258.47,249.6,258.38,258.38
10/22/1987 00:00:00,258.38,242.99,248.25,248.25
10/23/1987 00:00:00,250.7,242.76,248.22,248.22
10/26/1987 00:00:00,248.22,227.26,227.67,227.67
10/27/1987 00:00:00,237.81,227.67,233.19,233.19
10/28/1987 00:00:00,238.58,226.29,233.28,233.28
10/29/1987 00:00:00,246.69,233.28,244.77,244.77
10/30/1987 00:00:00,254.04,244.77,251.79,251.79
11/02/1987 00:00:00,255.75,249.15,255.75,255.75
11/03/1987 00:00:00,255.75,242.78,250.82,250.82
11/04/1987 00:00:00,250.57,246.94,248.96,248.96
11/05/1987 00:00:00,256.09,247.72,254.48,254.48
11/06/1987 00:00:00,257.21,249.68,250.41,250.41
11/09/1987 00:00:00,250.41,243.01,243.17,243.17
11/10/1987 00:00:00,243.17,237.64,239,239
11/11/1987 00:00:00,243.86,239,241.9,241.9
11/12/1987 00:00:00,249.9,241.9,248.52,248.52
11/13/1987 00:00:00,249.42,245.64,245.64,245.64
11/16/1987 00:00:00,249.24,244.98,246.76,246.76
11/17/1987 00:00:00,243.41,240.93,243.04,243.04
11/18/1987 00:00:00,245.55,240.67,245.55,245.55
11/19/1987 00:00:00,245.55,239.7,240.05,240.05
11/20/1987 00:00:00,242,235.89,242,242
11/23/1987 00:00:00,242.99,240.5,242.99,242.99
11/24/1987 00:00:00,247.9,242.98,246.39,246.39
11/25/1987 00:00:00,246.54,244.08,244.1,244.1
